label,url_count,urls
"Naechster Schritt",3,"https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/50-30-20.html | https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/abo-manager.html | https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/abos-kuendigen.html"
"Projekt-Uebersicht",2,"https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/einfach-geld-ordnen.html | https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/index.html"
"Downloads",2,"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/downloads_alias.html | https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/downloads.html"
